</S>       </s rsh 
UKLÍZÍŠ       u k l ii z ii sh 
UKONČENÍ       u k o n ch e nj ii 
UKONČENÝ       u k o n ch e n ii 
UKONČIT       u k o n ch i t 
UKONČÍ       u k o n ch ii 
UKONČÍME       u k o n ch ii m e 
UKOUSLI       u k ow s l i 
UKRADENÉ       u k r a d e n ee 
UKRADENÝ       u k r a d e n ii 
UKRADLI       u k r a d l i 
UKRAJINSKÉ       u k r a j i n s k ee 
UKRUTNÁ       u k r u t n aa 
UKÁZAL       u k aa z a l 
UKÁZALA       u k aa z a l a 
UKÁZALO       u k aa z a l o 
UKÁZAT       u k aa z a t 
UKÁZKA       u k aa s k a 
UKÁZÁNÍ       u k aa z aa nj ii 
UKÁŽEŠ       u k aa zh e sh 
UKÁŽU       u k aa zh u 
ULIC       u l i c 
ULICA       u l i c a 
ULICE       u l i c e 
ULICI       u l i c i 
ULICÉ       u l i c ee 
ULICÍ       u l i c ii 
ULIČKY       u l i ch k i 
ULOVIT       u l o v i t 
ULOŽIL       u l o zh i l 
ULOŽIM       u l o zh i m 
ULOŽIT       u l o zh i t 
ULSTER       u l s t e r 
ULTRA       u l t r a 
ULTRAZVUKU       u l t r a z v u k u 
UMIM       u m i m 
UMLÉHO       u m l ee h o 
UMLČET       u m l ch e t 
UMOŘÍŠ       u m o rzh ii sh 
UMOŽNÍ       u m o zh nj ii 
UMOŽŇUJE       u m o zh nj u j e 
UMYLA       u m i l a 
UMYLI       u m i l i 
UMYTÁ       u m i t aa 
UMYTÝ       u m i t ii 
UMÍ       u m ii 
UMÍM       u m ii m 
UMÍRÁ       u m ii r aa 
UMÍSTILI       u m ii s tj i l i 
UMÍSTIT       u m ii s tj i t 
UMÍSTĚNÁ       u m ii s tj e n aa 
UMÍTE       u m ii t e 
UMÍŠ       u m ii sh 
UMÝT       u m ii t 
UMÝVAT       u m ii v a t 
UMÝŤ       u m ii tj 
UMĚJ       u m nj e j 
UMĚLEJ       u m nj e l e j 
UMĚLÁ       u m nj e l aa 
UMĚLÉ       u m nj e l ee 
UMĚLÉHO       u m nj e l ee h o 
UMĚNÍ       u m nj e nj ii 
UMŘEL       u m rzh e l 
UMŘELA       u m rzh e l a 
UMŘU       u m rzh u 
UNAVENEJ       u n a v e n e j 
UNAVENÁ       u n a v e n aa 
UNAVENÝ       u n a v e n ii 
UNIFORM       u nj i f o r m 
UNIFORMĚ       u nj i f o r m nj e 
UNII       u n i i 
UNIKÁTNÍ       u nj i k aa t nj ii 
UNIPOLTECHNIK       u nj i p o l t e x n i k 
UNIVERZITA       u n i v e r z i t a 
UNIVERZITNÍMU       u n i v e r z i t nj ii m u 
UNIVERZITU       u n i v e r z i t u 
UNIVERZITY       u n i v e r z i t i 
UNIVERZITÁCH       u n i v e r z i t aa x 
UNÍ       u nj ii 
UOCHABU       u o x a b u 
UPEVNIL       u p e v nj i l 
UPLETENÝ       u p l e t e n ii 
UPLETU       u p l e t u 
UPLYNULA       u p l i n u l a 
UPLYNUTÍ       u p l i n u tj ii 
UPLÍST       u p l ii s t 
UPOMÍNÁ       u p o m ii n aa 
UPOZORNILO       u p o z o r nj i l o 
UPOZORNÍ       u p o z o r nj ii 
UPOZORNĚNI       u p o z o r nj e nj i 
UPOZORNĚNÍ       u p o z o r nj e nj ii 
UPOZORŇUJE       u p o z o r nj u j e 
UPOZORŇUJI       u p o z o r nj u j i 
UPOZORŇUJOU       u p o z o r nj u j ow 
UPRAVENÝ       u p r a v e n ii 
UPRAVUJEŠ       u p r a v u j e sh 
UPÉCT       u p ee c t 
UPÍCT       u p ii c t 
UPŘESNÍME       u p rsh e s nj ii m e 
URBANISTICKÉ       u r b a nj i s t i c k ee 
URGOVAT       u r g o v a t 
URNU       u r n u 
URNY       u r n i 
UROBIL       u r o b i l 
UROBIT       u r o b i t 
UROVNALI       u r o v n a l i 
UROVNAM       u r o v n a m 
UROVNÁVÁ       u r o v n aa v aa 
URVAL       u r v a l 
URVU       u r v u 
URXOVA       u r k s o v a 
URYCHLUJE       u r i x l u j e 
URÁŽÍ       u r aa zh ii 
URČENA       u r ch e n a 
URČILI       u r ch i l i 
URČITOU       u r ch i t ow 
URČITÁ       u r ch i t aa 
URČITÝ       u r ch i t ii 
URČITĚ       u r ch i tj e 
URČUJU       u r ch u j u 
URŽENÝ       u r zh e n ii 
USA       u s a 
USEDL       u s e d l 
USEDLI       u s e d l i 
USEDNE       u s e d n e 
USEKLI       u s e k l i 
USEKNE       u s e k n e 
USILUJE       u s i l u j e 
USLYŠIM       u s l i sh i m 
USLYŠÍ       u s l i sh ii 
USNE       u s n e 
USNUL       u s n u l 
USNULA       u s n u l a 
USOUDILA       u s ow dj i l a 
USPOŘÁDA       u s p o rzh aa d a 
USPOŘÁDAT       u s p o rzh aa d a t 
USPĚJOU       u s p j e j ow 
USTARANÁ       u s t a r a n aa 
USTAVENÍ       u s t a v e nj ii 
USTAVIČNĚ       u s t a v i ch nj e 
USTŘÍHNOUT       u s t rsh ii h n ow t 
USUŠILO       u s u sh i l o 
USÍNÁNÍM       u s ii n aa nj ii m 
UTAHANÁ       u t a h a n aa 
UTEKLA       u t e k l a 
UTEKLO       u t e k l o 
UTEČE       u t e ch e 
UTEČNOU       u t e ch n ow 
UTEČOU       u t e ch ow 
UTEČU       u t e ch u 
UTIKALA       u tj i k a l a 
UTKÁNÍ       u t k aa nj ii 
UTRATILA       u t r a tj i l a 
UTRÁPENÝ       u t r aa p e n ii 
UTÍKAL       u tj ii k a l 
UTÍKALA       u tj ii k a l a 
UTÍKÁ       u tj ii k aa 
UTÍRÁM       u tj ii r aa m 
UTÝRAL       u t ii r a l 
UTŘÍT       u t rsh ii t 
UVAŘILA       u v a rzh i l a 
UVAŘIT       u v a rzh i t 
UVAŘOVAT       u v a rzh o v a t 
UVAŘTE       u v a rsh t e 
UVAŘÍ       u v a rzh ii 
UVAŘÍM       u v a rzh ii m 
UVAŽOVALA       u v a zh o v a l a 
UVAŽOVÁNÍ       u v a zh o v aa nj ii 
UVAŽUJE       u v a zh u j e 
UVAŽUJEŠ       u v a zh u j e sh 
UVAŽUJU       u v a zh u j u 
UVEDENÉ       u v e d e n ee 
UVEDENÝ       u v e d e n ii 
UVEDL       u v e d l 
UVEĎMĚ       u v e dj m nj e 
UVEŘEJŇOVÁNÍ       u v e rzh e j nj o v aa nj ii 
UVIDIM       u v i dj i m 
UVIDÍ       u v i dj ii 
UVIDÍM       u v i dj ii m 
UVIDÍME       u v i dj ii m e 
UVIDÍTE       u v i dj ii t e 
UVIDÍŠ       u v i dj ii sh 
UVIDĚL       u v i dj e l 
UVIDĚLA       u v i dj e l a 
UVNITŘ       u v nj i t rsh 
UVOLNIT       u v o l nj i t 
UVOLNĚNÉ       u v o l nj e n ee 
UVOLNĚNÍ       u v o l nj e nj ii 
UVÁDĚT       u v aa dj e t 
UVÁZALA       u v aa z a l a 
UVĚDOM       u v j e d o m 
UVĚDOMIL       u v j e d o m i l 
UVĚDOMILA       u v j e d o m i l a 
UVĚDOMUJE       u v j e d o m u j e 
UVĚDOMUJU       u v j e d o m u j u 
UZAVÍRAT       u z a v ii r a t 
UZAVŘELI       u z a v rzh e l i 
UZAVŘENÉ       u z a v rzh e n ee 
UZAVŘOU       u z a v rzh ow 
UZAVŘÍT       u z a v rzh ii t 
UZNAJ       u z n a j 
UZNÁNÍ       u z n aa nj ii 
UČ       u ch 
UČEBNIC       u ch e b nj i c 
UČENÍ       u ch e nj ii 
UČETNICTVÍ       u ch e t nj i c t v ii 
UČIL       u ch i l 
UČILA       u ch i l a 
UČILI       u ch i l i 
UČIM       u ch i m 
UČINIT       u ch i nj i t 
UČIT       u ch i t 
UČITEL       u ch i t e l 
UČITELCE       u ch i t e l c e 
UČITELE       u ch i t e l e 
UČITELKA       u ch i t e l k a 
UČITELKAMA       u ch i t e l k a m a 
UČITELKU       u ch i t e l k u 
UČITELSTVÍ       u ch i t e l s t v ii 
UČTI       u ch tj i 
UČÍ       u ch ii 
UČÍM       u ch ii m 
UŘVANÁ       u rzh v a n aa 
UŘÍZLI       u rzh ii z l i 
UŘÍZNEME       u rzh ii z n e m e 
UŠ       u sh 
UŠETŘIM       u sh e t rsh i m 
UŠETŘIT       u sh e t rsh i t 
UŠETŘÍME       u sh e t rsh ii m e 
UŠI       u sh i 
UŠKODIT       u sh k o dj i t 
UŠKRTIT       u sh k r tj i t 
UŠLA       u sh l a 
UŽ       u sh 
UŽIJ       u zh i j 
UŽIJEME       u zh i j e m e 
UŽIJEŠ       u zh i j e sh 
UŽIJOU       u zh i j ow 
UŽIJTE       u zh i j t e 
UŽIJU       u zh i j u 
UŽIL       u zh i l 
UŽILA       u zh i l a 
UŽITEČNÝHO       u zh i t e ch n ii h o 
UŽITKOVÝ       u zh i t k o v ii 
UŽIVATELE       u zh i v a t e l e 
UŽIVATELÍCH       u zh i v a t e l ii x 
UŽIVATELŮM       u zh i v a t e l uu m 
UŽS       u sh s 
UŽÍVEJ       u zh ii v e j 
UŽÍVÁNÍ       u zh ii v aa nj ii 
V       f 
VACHRLATÉ       v a x r l a t ee 
VACKŮ       v a c k uu 
VADIT       v a dj i t 
VADO       v a d o 
VADÍ       v a dj ii 
VAGÓNU       v a g o n u 
VAJÍČKO       v a j ii ch k o 
VALDŠTEJNSKÁ       v a l t sh t e j n s k aa 
VALEŠE       v a l e sh e 
VALIDNÍ       v a l i d nj ii 
VALIDOVAT       v a l i d o v a t 
VALIDÁTORU       v a l i d aa t o r u 
VALIL       v a l i l 
VALILA       v a l i l a 
VALNÁ       v a l n aa 
VALTEŘIC       v a l t e rzh i c 
VALÍ       v a l ii 
VAMA       v a m a 
VANU       v a n u 
VANY       v a n i 
VANĚ       v a nj e 
VARIABILNÍ       v a r i a b i l nj ii 
VARIANTA       v a r i a n t a 
VARIANTU       v a r i a n t u 
VARIANTY       v a r i a n t i 
VARNŮ       v a r n uu 
VARY       v a r i 
VARŠAVSKÁ       v a r sh a f s k aa 
VARŮ       v a r uu 
VARŮM       v a r uu m 
VATIKÁN       v a t i k aa n 
VATIKÁNU       v a t i k aa n u 
VAŘENÝ       v a rzh e n ii 
VAŘIL       v a rzh i l 
VAŘILA       v a rzh i l a 
VAŘILI       v a rzh i l i 
VAŘIM       v a rzh i m 
VAŘIT       v a rzh i t 
VAŘIČEM       v a rzh i ch e m 
VAŘÍ       v a rzh ii 
VAŘÍŠ       v a rzh ii sh 
VAŠE       v a sh e 
VAŠEK       v a sh e k 
VAŠEMU       v a sh e m u 
VAŠI       v a sh i 
VAŠIM       v a sh i m 
VAŠKOVI       v a sh k o v i 
VAŠKU       v a sh k u 
VAŠÍ       v a sh ii 
VCELKU       f c e l k u 
VCHODEM       f x o d e m 
VDÁT       v d aa t 
VDÁVALI       v d aa v a l i 
VE       v e 
VEDE       v e d e 
VEDENÍ       v e d e nj ii 
VEDETE       v e d e t e 
VEDLA       v e d l a 
VEDLE       v e d l e 
VEDLEJŠÍ       v e d l e j sh ii 
VEDLEJŠÍHO       v e d l e j sh ii h o 
VEDLO       v e d l o 
VEDOU       v e d ow 
VEDOUCÍ       v e d ow c ii 
VEDOUCÍCH       v e d ow c ii x 
VEDOUCÍHO       v e d ow c ii h o 
VEDRA       v e d r a 
VEDRO       v e d r o 
VEDĚT       v e dj e t 
VEGETIT       v e g e tj i t 
VEJCE       v e j c e 
VEJDE       v e j d e 
VEJLET       v e j l e t 
VEJPLATU       v e j p l a t u 
VEJŠCE       v e j sh c e 
VELCÍ       v e l c ii 
VELEHRAD       v e l e h r a t 
VELETRHY       v e l e t r h i 
VELETRŽNÍ       v e l e t r zh nj ii 
VELICE       v e l i c e 
VELIKANANÁNSKÉ       v e l i k a n a n aa n s k ee 
VELIKEJ       v e l i k e j 
VELIKOU       v e l i k ow 
VELIKÁ       v e l i k aa 
VELIKÉ       v e l i k ee 
VELIKÉMU       v e l i k ee m u 
VELIKÝ       v e l i k ii 
VELKEJ       v e l k e j 
VELKEJCH       v e l k e j x 
VELKOU       v e l k ow 
VELKYM       v e l k i m 
VELKÁ       v e l k aa 
VELKÉ       v e l k ee 
VELKÉHO       v e l k ee h o 
VELKÉM       v e l k ee m 
VELKÉMU       v e l k ee m u 
VELKÝ       v e l k ii 
VELKÝCH       v e l k ii x 
VELKÝM       v e l k ii m 
VELMI       v e l m i 
VELMOCI       v e l m o c i 
VEM       v e m 
VEME       v e m e 
VEMEŠ       v e m e sh 
VEMTE       v e m t e 
VEMU       v e m u 
VEN       v e n 
VENDA       v e n d a 
VENDY       v e n d i 
VENKU       v e ng k u 
VENTILEM       v e n t i l e m 
VERCAJKEM       v e r c a j k e m 
VERDE       v e r d e 
VERONSKÉ       v e r o n s k ee 
VERU       v e r u 
VERUNCE       v e r u n c e 
VERUNKA       v e r u ng k a 
VERUNKU       v e r u ng k u 
VERZI       v e r z i 
VERČA       v e r ch a 
VERČI       v e r ch i 
VERČOU       v e r ch ow 
VESELE       v e s e l e 
VESELEJ       v e s e l e j 
VESELO       v e s e l o 
VESELÝ       v e s e l ii 
VESELÝHO       v e s e l ii h o 
VESMĚS       v e s m nj e s 
VESNICE       v e s nj i c e 
VETERINU       v e t e r i n u 
VETERINÁŘ       v e t e r i n aa rsh 
VETERINÁŘA       v e t e r i n aa rzh a 
VETERINĚ       v e t e r i nj e 
VETERÁNSKÝ       v e t e r aa n s k ii 
VEVEŘÍ       v e v e rzh ii 
VEVNITŘ       v e v nj i t rsh 
VEZE       v e z e 
VEZL       v e z l 
VEZLA       v e z l a 
VEZLI       v e z l i 
VEZME       v e z m e 
VEZMEM       v e z m e m 
VEZMEŠ       v e z m e sh 
VEZMI       v e z m i 
VEZMOU       v e z m ow 
VEZMU       v e z m u 
VEZU       v e z u 
VEČE       v e ch e 
VEČER       v e ch e r 
VEČERA       v e ch e r a 
VEČERKY       v e ch e r k i 
VEČERNIM       v e ch e r nj i m 
VEČERU       v e ch e r u 
VEČEŘE       v e ch e rzh e 
VEČEŘEL       v e ch e rzh e l 
VEČEŘELA       v e ch e rzh e l a 
VEČEŘELI       v e ch e rzh e l i 
VEČEŘET       v e ch e rzh e t 
VEČEŘI       v e ch e rzh i 
VEČEŘIM       v e ch e rzh i m 
VEČEŘU       v e ch e rzh u 
VEČEŘÍ       v e ch e rzh ii 
VEČÍR       v e ch ii r 
VEĎ       v e tj 
VEŘEJNOST       v e rzh e j n o s t 
VEŘEJNÉ       v e rzh e j n ee 
VEŘEJNÉHO       v e rzh e j n ee h o 
VEŘEJNÝ       v e rzh e j n ii 
VEŘEJNĚ       v e rzh e j nj e 
VEŠEL       v e sh e l 
VEŠKEROU       v e sh k e r ow 
VEŠKERÁ       v e sh k e r aa 
VEŠKERÝ       v e sh k e r ii 
VEŠLI       v e sh l i 
VEŠLO       v e sh l o 
VHODNÁ       v h o d n aa 
VHODNÍ       v h o d nj ii 
VHODNĚ       v h o d nj e 
VIDA       v i d a 
VIDELY       v i d e l i 
VIDEO       v i d e o 
VIDIM       v i dj i m 
VIDIŠ       v i dj i sh 
VIDLIČKOU       v i d l i ch k ow 
VIDÍ       v i dj ii 
VIDÍM       v i dj ii m 
VIDÍTE       v i dj ii t e 
VIDÍŠ       v i dj ii sh 
VIDĚL       v i dj e l 
VIDĚLA       v i dj e l a 
VIDĚLI       v i dj e l i 
VIDĚNÍ       v i dj e nj ii 
VIDĚT       v i dj e t 
VIKTOR       v i k t o r 
VIKTORIE       v i k t o r i e 
VILDA       v i l d a 
VILDO       v i l d o 
VILDOU       v i l d ow 
VILDOVI       v i l d o v i 
VILDRA       v i l d r a 
VILDU       v i l d u 
VILDY       v i l d i 
VILÉM       v i l ee m 
VIM       v i m 
VINA       v i n a 
VINAŘSTVÍ       v i n a rsh s t v ii 
VINOBRANÍ       v i n o b r a nj ii 
VINOBRANÍM       v i n o b r a nj ii m 
VINOHRADSKÁ       v i n o h r a t s k aa 
VINÁRNU       v i n aa r n u 
VIOLY       v i o l i 
VIRTIÓZNÍM       v i r tj i o z nj ii m 
VISÍ       v i s ii 
VITAMÍN       v i t a m ii n 
VITAMÍNU       v i t a m ii n u 
VIZITA       v i z i t a 
VIZITKU       v i z i t k u 
VIĎ       v i tj 
VIĎM       v i dj m 
VIŠ       v i sh 
VKLADU       f k l a d u 
VLADANOVI       v l a d a n o v i 
VLADI       v l a dj i 
VLADIMÍR       v l a dj i m ii r 
VLAJKA       v l a j k a 
VLAJKOU       v l a j k ow 
VLAK       v l a k 
VLAKEM       v l a k e m 
VLAKOVÉHO       v l a k o v ee h o 
VLAKU       v l a k u 
VLAKY       v l a k i 
VLASDTNĚ       v l a s t nj e 
VLASNĚ       v l a s nj e 
VLASTNOST       v l a s t n o s t 
VLASTNOSTI       v l a s t n o s tj i 
VLASTNÍ       v l a s t nj ii 
VLASTNÍCH       v l a s t nj ii x 
VLASTNÍK       v l a s t nj ii k 
VLASTNÍM       v l a s t nj ii m 
VLASTNÍMI       v l a s t nj ii m i 
VLASTNÍMU       v l a s t nj ii m u 
VLASTNĚ       v l a s t nj e 
VLASTĚ       v l a s tj e 
VLASY       v l a s i 
VLASŮ       v l a s uu 
VLAĎKA       v l a tj k a 
VLAĎKOU       v l a tj k ow 
VLAĎO       v l a dj o 
VLAĎULKO       v l a dj u l k o 
VLEKEM       v l e k e m 
VLEVO       v l e v o 
VLEZE       v l e z e 
VLEZEŠ       v l e z e sh 
VLEZLI       v l e z l i 
VLEZU       v l e z u 
VLHČÍ       v l x ch ii 
VLIV       v l i f 
VLIVNÝM       v l i v n ii m 
VLK       v l k 
VLNOVOU       v l n o v ow 
VLNY       v l n i 
VLONI       v l o nj i 
VLOČKOVÚ       v l o ch k o v uu 
VLOŽIT       v l o zh i t 
VLTAVY       v l t a v i 
VLTAVĚ       v l t a v j e 
VLÁDA       v l aa d a 
VLÁDNÍ       v l aa d nj ii 
VLÁDNÍHO       v l aa d nj ii h o 
VLÁDY       v l aa d i 
VLÁKEN       v l aa k e n 
VLÁSKY       v l aa s k i 
VNITRA       v nj i t r a 
VNITRODRUSŽTEVNÍ       v nj i t r o d r u z sh t e v nj ii 
VNITŘ       v nj i t rsh 
VNITŘE       v nj i t rsh e 
VNIŘNÍ       v nj i rzh nj ii 
VNOUČATŮM       v n ow ch a t uu m 
VNOUČKU       v n ow ch k u 
VNUTÍTE       v n u tj ii t e 
VNÉST       v n ee s t 
VNÍMÁM       v nj ii m aa m 
VNÍMÁNÍ       v nj ii m aa nj ii 
VNĚJŠÍ       v nj e j sh ii 
VO       v o 
VOBA       v o b a 
VOBCHOD       v o p x o t 
VOBEJÍT       v o b e j ii t 
VOBJECT       v o b j e c t 
VOBJEDNANÁ       v o b j e d n a n aa 
VOBJEDNANÝ       v o b j e d n a n ii 
VOBJEVIT       v o b j e v i t 
VOBJEVÍ       v o b j e v ii 
VOBLBLEJ       v o b l b l e j 
VOBLEK       v o b l e k 
VOBLEČENÁ       v o b l e ch e n aa 
VOBLEČENÍM       v o b l e ch e nj ii m 
VOBLEČU       v o b l e ch u 
VOBRAZ       v o b r a s 
VOBRÁZCÍCH       v o b r aa s c ii x 
VOBRÁZEK       v o b r aa z e k 
VOBSAZENÝ       v o p s a z e n ii 
VOBSYPANÝ       v o p s i p a n ii 
VOBTÍŽNÍ       v o p tj ii zh nj ii 
VOBVOLAT       v o b v o l a t 
VOBVOLÁM       v o b v o l aa m 
VOBČANKA       v o p ch a ng k a 
VOBČAS       v o p ch a s 
VOBĚ       v o b j e 
VOBĚD       v o b j e t 
VOBĚDA       v o b j e d a 
VOBĚDEM       v o b j e d e m 
VOBĚDĚ       v o b j e dj e 
VOBĚTOVANÝ       v o b j e t o v a n ii 
VOBŠÍT       v o p sh ii t 
VOBŽIVNU       v o b zh i v n u 
VOCHLADIT       v o x l a dj i t 
VOCHUTNAT       v o x u t n a t 
VOCHUTNÁM       v o x u t n aa m 
VOCHUTNÁVAT       v o x u t n aa v a t 
VOD       v o t 
VODA       v o d a 
VODBOČKY       v o d b o ch k i 
VODBOČOVAT       v o d b o ch o v a t 
VODBĚRY       v o d b j e r i 
VODDĚLAJÍ       v o d dj e l a j ii 
VODDĚLENIM       v o d dj e l e nj i m 
VODE       v o d e 
VODEJDE       v o d e j d e 
VODEJDEM       v o d e j d e m 
VODEJDU       v o d e j d u 
VODEJÍT       v o d e j ii t 
VODEVZDAL       v o d e v z d a l 
VODEVZDÁ       v o d e v z d aa 
VODEŠEL       v o d e sh e l 
VODEŠLA       v o d e sh l a 
VODIČ       v o dj i ch 
VODIČKOVA       v o dj i ch k o v a 
VODIČKOVY       v o dj i ch k o v i 
VODIČKY       v o dj i ch k i 
VODJEDE       v o d j e d e 
VODJEDEM       v o d j e d e m 
VODJEDU       v o d j e d u 
VODJEL       v o d j e l 
VODJELA       v o d j e l a 
VODJÍŽDÍME       v o d j ii zh dj ii m e 
VODJÍŽDĚL       v o d j ii zh dj e l 
VODKAĎ       v o t k a tj 
VODLOŽIT       v o d l o zh i t 
VODNESLY       v o d n e s l i 
VODNÍCH       v o d nj ii x 
VODNÍST       v o d nj ii s t 
VODOFONU       v o d o f o n u 
VODOMILNÁ       v o d o m i l n aa 
VODOU       v o d ow 
VODOVODNÍHO       v o d o v o d nj ii h o 
VODPOLEDNE       v o t p o l e d n e 
VODPOVĚDĚT       v o t p o v j e dj e t 
VODPOVĚĎ       v o t p o v j e tj 
VODPOČÍVEJ       v o t p o ch ii v e j 
VODPOČÍVÁ       v o t p o ch ii v aa 
VODPOČÍVÁŠ       v o t p o ch ii v aa sh 
VODPUŠTĚNÍM       v o t p u sh tj e nj ii m 
VODRADILA       v o d r a dj i l a 
VODSAĎ       v o t s a tj 
VODSAŤ       v o t s a tj 
VODU       v o d u 
VODVEZ       v o d v e s 
VODVEZLI       v o d v e z l i 
VODVEZOU       v o d v e z ow 
VODVOLAL       v o d v o l a l 
VODVÁŽET       v o d v aa zh e t 
VODVÍST       v o d v ii s t 
VODY       v o d i 
VODĚNÍ       v o dj e nj ii 
VODŘEZAT       v o d rzh e z a t 
VOFOUKLA       v o f ow k l a 
VOGO       v o g o 
VOHLÁSÍ       v o h l aa s ii 
VOHLÍDEJ       v o h l ii d e j 
VOJENSKOU       v o j e n s k ow 
VOJENSKÁ       v o j e n s k aa 
VOJENSKÉ       v o j e n s k ee 
VOJENSKÉMU       v o j e n s k ee m u 
VOJNA       v o j n a 
VOJNU       v o j n u 
VOJSKA       v o j s k a 
VOJTOU       v o j t ow 
VOJTU       v o j t u 
VOJÁCI       v o j aa c i 
VOJÁK       v o j aa k 
VOKNA       v o k n a 
VOKNEM       v o k n e m 
VOKNO       v o k n o 
VOKO       v o k o 
VOKOLÍ       v o k o l ii 
VOKUREK       v o k u r e k 
VOKURKY       v o k u r k i 
VOLAJ       v o l a j 
VOLAJÍ       v o l a j ii 
VOLAL       v o l a l 
VOLALA       v o l a l a 
VOLALI       v o l a l i 
VOLALS       v o l a l s 
VOLAM       v o l a m 
VOLAT       v o l a t 
VOLAČKU       v o l a ch k u 
VOLBA       v o l b a 
VOLBAMI       v o l b a m i 
VOLBU       v o l b u 
VOLBY       v o l b i 
VOLBÁCH       v o l b aa x 
VOLE       v o l e 
VOLEB       v o l e p 
VOLEBNÍ       v o l e b nj ii 
VOLEBNÍHO       v o l e b nj ii h o 
VOLEJ       v o l e j 
VOLEJBAL       v o l e j b a l 
VOLEJBALOVÝ       v o l e j b a l o v ii 
VOLEJE       v o l e j e 
VOLET       v o l e t 
VOLHA       v o l h a 
VOLIT       v o l i t 
VOLITELNÝ       v o l i t e l n ii 
VOLIČI       v o l i ch i 
VOLIČSKEJ       v o l i ch s k e j 
VOLNA       v o l n a 
VOLNEJ       v o l n e j 
VOLNO       v o l n o 
VOLNOU       v o l n ow 
VOLNÁ       v o l n aa 
VOLNÝ       v o l n ii 
VOLNÝCH       v o l n ii x 
VOLNĚ       v o l nj e 
VOLÁ       v o l aa 
VOLÁM       v o l aa m 
VOLÁME       v o l aa m e 
VOLÁNÍ       v o l aa nj ii 
VOLÁTE       v o l aa t e 
VOLÁŠ       v o l aa sh 
VOMEZENÝ       v o m e z e n ii 
VON       v o n 
VONA       v o n a 
VONI       v o nj i 
VONKY       v o ng k i 
VONO       v o n o 
VONÍ       v o nj ii 
VOPARUJTE       v o p a r u j t e 
VOPATRNÁ       v o p a t r n aa 
VOPATRNĚ       v o p a t r nj e 
VOPATRUJE       v o p a t r u j e 
VOPATRUJTE       v o p a t r u j t e 
VOPRAVDOVÝ       v o p r a v d o v ii 
VOPRAVDU       v o p r a v d u 
VOPRAVOVAL       v o p r a v o v a l 
VOPROTI       v o p r o tj i 
VOPRUZOVAT       v o p r u z o v a t 
VORAZ       v o r a s 
VORIENTACI       v o r i e n t a c i 
VOSAMOSTATNILA       v o s a m o s t a t nj i l a 
VOSKOVCE       v o s k o f c e 
VOSMI       v o s m i 
VOSTABILIZOVAT       v o s t a b i l i z o v a t 
VOSTATNÍ       v o s t a t nj ii 
VOSTATNÍCH       v o s t a t nj ii x 
VOSUMADVACET       v o s u m a d v a c e t 
VOTAMTUD       v o t a m t u t 
VOTAĎ       v o t a tj 
VOTCOVI       v o t c o v i 
VOTEKLOU       v o t e k l ow 
VOTEPLOVAT       v o t e p l o v a t 
VOTEVŘEM       v o t e v rzh e m 
VOTEVŘÍT       v o t e v rzh ii t 
VOTOKY       v o t o k i 
VOTOM       v o t o m 
VOTOČILI       v o t o ch i l i 
VOTOČIT       v o t o ch i t 
VOTRAVU       v o t r a v u 
VOTRHAL       v o t r h a l 
VOTVÍRÁ       v o t v ii r aa 
